hangGlider_4,15561,149532,192595672,191342279,1.000000,24.159007,15.944006,23.165005
hangGlider_4,15561,149532,192595672,191342279,1.000000,23.848607,16.151524,23.679441
a0nsdsil,80016,355034,201495078,175955042,1.000000,24.924864,16.168198,20.122849
a2nnsnsl,80016,347222,183800248,158275840,1.000000,44.216065,8.313732,9.308453
a5esindl,60008,255004,175890032,175505062,1.000000,21.271232,16.537832,22.444572
af_shell10,1508065,52672325,1840916875,142742975,12.000000,44.072927,83.539581,146.104141
bbmat,38744,1771722,140269686,13890146,10.000000,7.670848,36.572144,76.228882
bcsstk30,28924,2043492,173481412,8946070,19.000000,4.891776,70.927780,105.095406
bcsstk36,23052,1143140,60130948,3634868,16.000000,2.185376,55.030300,105.253586
bundle1,10581,770901,474329871,24072923,19.000000,16.916096,56.080296,63.035812
c-43,11125,123675,60015151,10157553,5.000000,10.929440,10.982292,16.979372
cant,62451,4007383,269486473,17440029,15.000000,6.845984,78.728333,116.413261
Chebyshev4,68121,5377761,428283025,18844281,22.000000,24.221792,35.363449,81.933800
conf5_4-8x8-05,49152,1916928,74760192,10764288,6.000000,3.220512,46.427521,85.100204
consph,83334,6010480,463845030,26539736,17.000000,10.814912,85.778786,126.348633
cop20k_A,121192,2624331,79883385,18705069,4.000000,5.265728,30.340870,62.109989
crplat2,18010,960946,52290238,2722222,19.000000,1.748864,59.799091,117.635155
fem_filter,74062,1731206,366086732,8424292,43.000000,8.490048,86.239021,125.278130
g3rmt3m3,5357,207695,8319359,545441,15.000000,0.787328,21.133146,59.751770
Ga10As10H30,113081,6115633,1098110645,75156365,14.000000,44.694496,49.138515,59.757301
Goodwin_071,56021,1797934,71386226,8254237,8.000000,2.853024,50.042496,89.161453
Goodwin_095,100037,3226066,128655740,14903525,8.000000,4.714912,54.573975,95.419296
gupta3,16783,9323427,30715971817,270864545,113.000000,544.213567,112.882050,118.649483
hangGlider_3,10260,92703,83899119,83182632,1.000000,9.745792,17.217506,33.276825
hangGlider_4,15561,149532,192595672,191342279,1.000000,25.505312,15.102398,22.510225
hangGlider_5,16011,155246,203882914,202569269,1.000000,23.714976,17.194445,24.282368
human_gene2,14340,18068388,49883051738,163153048,305.000000,1292.420254,77.193237,84.813332
