Matrix Name,FlexSpGEMM_Numeric_Stage,FlexSpGEMM_Symbolic_Stage,FlexSpGEMM_Malloc
a5esindl,11.240,1.730,2.240
rajat18,23.210,7.590,7.090
mult_dcop_03,16.760,8.100,4.450
mult_dcop_01,16.730,8.550,4.500
mult_dcop_02,16.760,8.410,4.430
hangGlider_5,6.780,1.180,2.050
hangGlider_4,6.460,1.110,1.990
hangGlider_3,6.540,0.680,1.020
rajat25,23.710,9.680,7.330
rajat28,23.620,10.050,7.290
rajat20,24.100,9.450,7.280
rajat16,24.090,9.740,7.460
rajat17,23.940,8.770,7.280
mac_econ_fwd500,2.130,2.280,1.080
a0nsdsil,6.450,1.260,2.240
a2nnsnsl,5.710,1.750,2.860
webbase-1M,4.410,14.690,2.010
mc2depi,1.570,1.430,0.810
scircuit,1.950,3.360,1.120
net150,26.670,11.980,2.660
net125,24.180,6.830,2.230
lowThrust_9,1.980,0.740,0.800
lowThrust_5,1.680,0.720,1.040
circuit_1,0.800,1.450,0.590
imagesensor,1.690,1.040,1.100
cop20k_A,23.340,33.980,2.550
pkustk12,58.970,20.170,4.590
qa8fk,0.860,0.430,0.690
qa8fm,0.860,0.420,0.530
c-43,2.260,1.210,0.650
conf5_4-8x8-05,2.070,0.570,0.560
bbmat,1.410,0.640,0.730
Goodwin_095,2.650,1.110,0.850
Goodwin_071,1.460,0.550,0.580
ted_A,0.190,0.280,0.400
ted_A_unscaled,0.200,0.310,0.420
ted_AB,0.290,0.350,0.410
ted_AB_unscaled,0.290,0.330,0.410
rim,0.970,0.450,0.470
Kuu,0.280,0.320,0.390
af_shell10,19.340,6.640,2.210
Ga10As10H30,33.880,8.150,1.780
Chebyshev4,7.970,3.150,0.940
tube1,0.430,0.330,0.530
PR02R,6.350,2.170,1.390
g3rmt3m3,0.100,0.260,0.290
cant,3.680,1.000,0.910
nasasrb,1.560,0.640,0.490
oilpan,1.450,0.720,0.710
bcsstk36,0.660,0.460,0.510
consph,8.020,2.730,1.150
shipsec1,7.810,3.540,1.330
pwtk,4.450,2.070,2.260
crplat2,0.430,0.370,0.510
bcsstk30,1.990,0.840,0.660
s3rmq4m1,0.120,0.270,0.210
s3dkq4m2,1.610,0.740,0.720
olafu,0.540,0.390,0.500
bundle1,6.470,2.450,0.840
rma10,2.040,0.840,0.630
nemeth12,0.120,0.260,0.290
nemeth13,0.150,0.270,0.310
nemeth14,0.170,0.270,0.390
pkustk14,42.490,7.320,2.020
nemeth15,0.190,0.290,0.240
raefsky3,0.200,0.320,0.410
x104,10.140,2.780,1.490
ship_001,8.710,2.500,1.270
nemeth16,0.220,0.280,0.310
pdb1HYS,4.390,1.430,0.980
trdheim,0.920,0.490,0.550
m_t1,10.090,2.900,1.540
pkustk07,10.960,3.280,0.660
thread,12.120,2.960,1.160
nemeth17,0.250,0.290,0.320
smt,16.050,1.860,0.800
opt1,2.630,0.930,0.550
nemeth01,0.200,0.310,0.350
nemeth18,0.310,0.300,0.330
cegb2919,0.630,0.690,0.400
piston_E,0.070,0.240,0.240
tsyl201,5.900,1.610,1.120
cegb2802,0.190,0.400,0.200
nemeth19,0.180,0.320,0.290
fem_filter,11.350,3.480,1.110
nemeth20,0.230,0.350,0.370
qc2534,0.240,0.380,0.310
TSOPF_FS_b300,86.220,8.480,2.230
TSOPF_FS_b300_c1,91.560,8.680,2.240
nd6k,26.590,4.720,1.490
TSOPF_FS_b300_c2,107.270,34.150,6.710
dc1,454.830,47.580,4.270
dc2,367.880,47.540,4.200
dc3,541.490,47.450,4.210
trans5,370.180,40.160,4.220
heart3,1.760,1.000,0.400
gupta3,210.260,42.520,3.130
SiO2,309.750,19.150,2.370
human_gene2,1153.420,46.690,2.320
torso1,116.390,8.700,1.340
