Matrix Name,Type,Compression Rate,FlexSpGEMM GFLOPS,cuSPARSE GFLOPS,HSMU-SpGEMM GFLOPS,spECK GFLOPS,TileSpGEMM GFLOPS
Chebyshev4,AAT,22.7274802896,8.800000,19.511755,,13.200000,15.360000
nemeth14,AA,23.7272802727,60.320000,15.729853,53.819973,37.300000,48.390000
pkustk14,AA,24.4885903062,68.500000,22.117661,92.257561,61.110000,66.250000
nemeth15,AA,25.6049697198,78.780000,17.603482,56.694656,54.640000,48.700000
raefsky3,AAT,26.0023368175,217.310000,22.294500,83.476883,71.850000,93.520000
raefsky3,AA,26.0023368175,210.580000,22.320468,83.659233,71.700000,92.450000
x104,AA,27.0342570750,144.600000,25.800125,102.030762,59.280000,84.880000
ship_001,AA,28.2832253760,115.450000,22.468722,90.906212,63.380000,84.620000
nemeth16,AA,28.3101954599,85.000000,19.189536,60.670471,58.400000,56.820000
pdb1HYS,AA,28.3406243287,161.410000,24.170736,97.524956,63.520000,94.030000
trdheim,AA,28.5543217847,189.990000,25.840009,92.419090,80.370000,90.210000
m_t1,AA,28.8645617724,144.510000,9.762474,105.949875,10.960000,82.050000
pkustk07,AA,29.4037725766,54.800000,21.450822,81.208374,61.150000,52.960000
thread,AA,29.9115104277,90.540000,21.696582,91.800308,61.970000,80.700000
nemeth17,AA,30.8388023819,91.550000,20.518615,64.227303,59.860000,63.860000
smt,AA,31.1627492728,64.580000,21.427418,92.017441,65.980000,68.650000
opt1,AA,32.7276542557,128.760000,24.018118,88.422112,71.060000,77.920000
nemeth01,AA,32.7517841047,122.860000,23.150402,73.888908,77.190000,73.720000
nemeth18,AA,34.9115950754,102.100000,22.434099,71.132996,62.320000,69.730000
cegb2919,AA,35.1025508889,45.720000,,,62.320000,32.280000
piston_E,AAT,36.0401002506,11.500000,,,27.330000,11.950000
piston_E,AA,36.0401002506,11.480000,,,26.430000,12.060000
tsyl201,AA,37.0420568986,70.920000,22.407578,102.560326,71.140000,70.040000
cegb2802,AA,38.7320869507,75.480000,,,84.590000,34.970000
nemeth19,AA,39.7825380296,167.210000,25.450925,87.612114,90.020000,88.670000
fem_filter,AAT,43.4560829563,45.260000,13.261129,87.011688,71.900000,41.910000
fem_filter,AA,43.4560829563,45.740000,13.247453,86.622650,71.790000,42.120000
nemeth20,AA,46.2835517048,198.290000,26.848539,100.664810,96.920000,98.610000
qc2534,AA,64.4432819383,171.340000,,,127.490000,74.880000
TSOPF_FS_b300,AA,66.0024205371,289.120000,,91.662941,91.060000,162.000000
TSOPF_FS_b300_c1,AA,66.0024205371,273.480000,,104.517281,88.750000,160.190000
nd6k,AA,66.0232638292,169.590000,,103.896805,82.780000,104.540000
TSOPF_FS_b300_c2,AA,66.9582628926,727.950000,,116.852852,88.800000,203.820000
dc1,AA,85.4125672931,51.480000,,,,61.620000
dc2,AA,85.4125672931,62.150000,,,,0.850000
dc3,AA,85.4125672931,43.980000,,,,0.860000
trans5,AA,85.4125672931,62.920000,,,,52.890000
heart3,AAT,94.4460818726,134.070000,,,119.450000,73.190000
heart3,AA,94.4460818726,132.400000,,,119.720000,73.660000
dc1,AAT,101.1192121145,72.850000,,,,61.550000
dc2,AAT,101.1192121145,71.890000,,,,74.340000
dc3,AAT,101.1192121145,70.190000,,,,74.240000
trans5,AAT,101.1192121145,61.340000,,,,72.400000
gupta3,AA,113.3997504804,239.980000,,111.729408,109.910000,146.330000
SiO2,AA,136.0301889611,86.080000,,23.769287,24.770000,88.350000
human_gene2,AA,305.7439156025,82.970000,,77.017014,62.760000,61.430000
torso1,AAT,380.9943111488,110.570000,,17.458801,79.940000,100.430000
torso1,AA,387.6758424589,120.140000,,28.150969,81.560000,114.770000
