Matrix Name,Type,cuSPARSE GFLOPS,spECK GFLOPS,HSMU-SpGEMM GFLOPS,TileSpGEMM GFLOPS,FlexSpGEMM GFLOPS
Goodwin_095,AA,12.894516,34.690000,55.574436,51.390000,61.810000
nemeth12,AA,14.564591,50.550000,44.949986,38.360000,61.500000
rma10,AA,20.705294,51.270000,73.880585,66.040000,90.580000
af_shell10,AA,26.447295,61.120000,84.042259,87.520000,127.880000
heart3,AA,0.000000,119.720000,0.000000,73.660000,136.610000
webbase-1M,AA,10.259602,4.110000,2.775085,6.700000,6.510000
hangGlider_4,AA,8.574480,26.180000,16.678577,23.340000,40.440000
s3rmq4m1,AA,14.010719,40.790000,33.439957,24.280000,48.150000
trans5,AA,0.000000,0.000000,0.000000,52.890000,62.920000
pkustk12,AA,0.000000,35.450000,21.736860,66.840000,65.040000
gupta3,AA,0.000000,109.910000,111.729408,146.330000,242.550000
TSOPF_FS_b300_c2,AA,0.000000,88.800000,116.852852,203.820000,716.280000
Goodwin_095,AAT,12.970636,34.930000,54.930008,52.160000,61.290000
rma10,AAT,20.796101,51.300000,73.702415,65.600000,92.560000
heart3,AAT,0.000000,119.450000,0.000000,73.190000,145.390000
webbase-1M,AAT,0.000000,12.690000,11.957256,10.280000,28.060000
trans5,AAT,0.000000,0.000000,0.000000,72.400000,61.340000
