nemeth16,9506,587012,36508092,1289574,28.000000,0.000000,1.232512,6.754086,0.270939
nemeth17,9506,629620,42022124,1362638,30.000000,0.000000,1.324160,7.241695,0.276913
nemeth18,9506,695234,51149746,1465122,34.000000,0.000000,1.446272,7.992588,0.289410
nemeth19,9506,818302,70982630,1784266,39.000000,0.000000,1.655904,9.400990,0.311874
nemeth20,9506,971870,100534354,2172140,46.000000,0.000000,2.008928,11.158436,0.343014
net125,36720,2577200,343881780,175086502,1.000000,0.000000,35.254944,29.633793,15.704330
net150,43520,3121200,467208280,238012852,1.000000,0.000000,55.445121,35.885319,18.985611
oilpan,73752,3597188,188872264,11609864,16.000000,0.000000,4.778816,41.447895,3.502754
olafu,16146,1015156,66312812,3388252,19.000000,0.000000,2.068768,11.679134,0.843731
opt1,15449,1930655,269171047,8224575,32.000000,0.000000,6.132000,22.153530,1.220707
pdb1HYS,36417,4344765,555322659,19594581,28.000000,0.000000,11.422816,49.860813,2.669201
pkustk07,16860,2418804,410021730,13944528,29.000000,0.000000,10.061568,27.745335,2.797924
pkustk12,94653,7512317,2680479077,474804911,5.000000,0.000000,246.849699,86.332722,10.174728
pkustk14,151926,14836504,1777485814,72584244,24.000000,0.000000,41.139711,170.369869,18.882687
PR02R,161070,8185136,471911391,30969453,15.000000,0.000000,11.890144,94.285885,11.740566
pwtk,217918,11634424,626054402,32772236,19.000000,0.000000,12.893056,133.976711,10.516888
qa8fk,66127,1660579,42857197,7351189,5.000000,0.000000,2.313696,19.256077,4.515984
qa8fm,66127,1660579,42857197,7351189,5.000000,0.000000,2.278592,19.256077,4.515984
raefsky3,21200,1488768,105397248,4053376,26.000000,0.000000,2.532960,17.118473,0.972965
rajat16,94294,641159,904719545,891678715,1.000000,0.000000,77.262881,7.697189,3.515118
rajat17,94294,641159,904719545,891678715,1.000000,0.000000,76.343330,7.697189,3.515118
rajat18,94294,485143,881220051,878610938,1.000000,0.000000,89.957602,5.911728,3.132267
rajat20,86916,605045,906009109,893444162,1.000000,0.000000,71.049474,7.255753,3.274261
rajat25,87190,607235,910717165,898546696,1.000000,0.000000,71.811902,7.281860,3.283443
rajat28,87190,607235,910717165,898546696,1.000000,0.000000,71.356737,7.281860,3.283443
rim,22560,1014951,48495211,4123936,11.000000,0.000000,2.075456,11.701256,1.041473
rma10,46835,2374001,156480259,7900917,19.000000,0.000000,5.246752,27.346951,2.538288
s3dkq4m2,90449,4820891,258143357,13282553,19.000000,0.000000,5.624320,55.515759,4.257259
s3rmq4m1,5489,281111,14662217,755453,19.000000,0.000000,0.876192,3.238003,0.256268
scircuit,170998,958936,8676313,5222525,1.000000,0.000000,2.672320,11.626461,5.914200
ship_001,34920,4644230,724065786,25600538,28.000000,0.000000,15.841472,53.282207,3.884335
shipsec1,140874,7813404,450639288,24086412,18.000000,0.000000,10.591008,89.954708,11.433567
SiO2,155331,11283503,14261280271,104839083,136.000000,0.000000,1075.299140,129.721989,41.425762
smt,25710,3753184,605945948,19444560,31.000000,0.000000,13.158912,43.049862,3.007191
ted_AB,10605,522387,30059308,2801762,10.000000,0.000000,1.763680,6.018703,0.485680
ted_AB_unscaled,10605,522387,30059308,2801762,10.000000,0.000000,1.776864,6.018703,0.485680
ted_A,10605,424587,18015573,2060816,8.000000,0.000000,1.375648,4.899471,0.341347
ted_A_unscaled,10605,424587,18015573,2060816,8.000000,0.000000,1.397088,4.899471,0.341347
thread,29736,4470048,738161100,24678162,29.000000,0.000000,16.113024,51.269077,3.670708
torso1,116158,8516500,7598748124,19600778,387.000000,0.000000,540.032402,97.906719,6.278271
trdheim,22098,1935324,192650184,6746796,28.000000,0.000000,4.178144,22.232327,1.332760
TSOPF_FS_b300_c1,29214,4400122,14023656792,212471856,66.000000,0.000000,268.795525,50.466846,2.474113
TSOPF_FS_b300_c2,56814,8767466,53947137470,805683050,66.000000,0.000000,924.852939,100.552418,4.825657
TSOPF_FS_b300,29214,4400122,14023656792,212471856,66.000000,0.000000,267.747398,50.466846,2.474113
tsyl201,20685,2454957,308227437,8321013,37.000000,0.000000,6.024320,28.173664,2.405266
tube1,21498,897056,38022972,2508776,15.000000,0.000000,1.419328,10.348003,1.034527
webbase-1M,1000005,3105536,69524195,51111996,1.000000,0.000000,50.329951,39.354759,30.582600
x104,108384,10167624,1046272464,38701728,27.000000,0.000000,20.502080,116.772678,9.021587
a0nsdsil,80016,355034,201495078,175955042,1.000000,0.000000,26.018271,4.368282,3.913963
a2nnsnsl,80016,347222,183800248,158275840,1.000000,0.000000,44.235648,4.278881,3.847290
a5esindl,60008,255004,175890032,175505062,1.000000,0.000000,19.428000,3.147205,2.862476
af_shell10,1508065,52672325,1840916875,142742975,12.000000,0.000000,44.111904,608.539738,66.093506
bbmat,38744,1771722,96381493,11551062,8.000000,0.000000,4.301760,20.423550,2.738514
bcsstk30,28924,2043492,173481412,8946070,19.000000,0.000000,4.917408,23.496250,1.660339
bcsstk36,23052,1143140,60130948,3634868,16.000000,0.000000,2.169984,13.170139,1.034023
bundle1,10581,770901,474329871,24072923,19.000000,0.000000,17.136064,8.862629,0.508339
c-43,11125,123675,60015151,10157553,5.000000,0.000000,10.893216,1.457790,0.559235
cant,62451,4007383,269486473,17440029,15.000000,0.000000,6.824928,46.099094,4.208958
Chebyshev4,68121,5377761,277056025,18870336,14.000000,0.000000,29.144224,61.803455,8.416424
conf5_4-8x8-05,49152,1916928,74760192,10911744,6.000000,0.000000,3.227264,22.125004,4.142582
consph,83334,6010480,463845030,26539736,17.000000,0.000000,10.868480,69.102383,7.945465
cop20k_A,121192,2624331,79883385,18705069,4.000000,0.000000,5.270144,30.495399,11.933495
crplat2,18010,960946,52290238,2722222,19.000000,0.000000,1.721312,11.065861,0.829441
fem_filter,74062,1731206,366086732,8424292,43.000000,0.000000,8.451104,20.094608,4.979481
g3rmt3m3,5357,207695,8319359,545441,15.000000,0.000000,2.638272,2.397320,0.225174
Ga10As10H30,113081,6115633,1098110645,75156365,14.000000,0.000000,45.730912,70.419239,27.993816
Goodwin_071,56021,1797934,71495155,8303428,8.000000,0.000000,2.809696,20.789429,2.233200
Goodwin_095,100037,3226066,128790421,14969716,8.000000,0.000000,4.676320,37.301010,4.007401
gupta3,16783,9323427,30715971817,270864545,113.000000,0.000000,569.875610,106.762180,4.751755
hangGlider_3,10260,92703,83899119,83182632,1.000000,0.000000,9.846368,1.100044,0.683170
hangGlider_4,15561,149532,192595672,191342279,1.000000,0.000000,23.947360,1.770622,1.039059
hangGlider_5,16011,155246,203882914,202569269,1.000000,0.000000,23.377375,1.837730,1.066296
human_gene2,14340,18068388,49883051738,163153048,305.000000,0.000000,1296.174128,206.830997,25.149105
imagesensor,118758,1893170,31822288,8200948,3.000000,0.000000,2.772736,22.118641,13.368591
Kuu,7102,340200,19123888,1562636,12.000000,0.000000,1.243424,3.920376,0.469547
lowThrust_5,16262,198369,82386863,40638712,2.000000,0.000000,6.958944,2.332191,1.407784
lowThrust_9,18044,219589,101126303,49951688,2.000000,0.000000,7.474944,2.581833,1.560104
mac_econ_fwd500,206500,1273389,7556897,6704899,1.000000,0.000000,2.235456,15.360519,7.346931
mc2depi,525825,2100225,8391680,5245952,1.000000,0.000000,2.430976,26.041035,20.106884
m_t1,97578,9753570,1054513134,36533142,28.000000,0.000000,19.791168,111.992985,7.580330
mult_dcop_01,25187,193276,520494489,518559249,1.000000,0.000000,39.070145,2.307953,1.579674
mult_dcop_02,25187,193276,520494489,518559249,1.000000,0.000000,35.512544,2.307953,1.579674
mult_dcop_03,25187,193216,520493919,518559199,1.000000,0.000000,35.240928,2.307266,1.579136
nasasrb,54870,2677324,134630198,8334386,16.000000,0.000000,3.904800,30.848858,2.943138
nd6k,18000,6897316,2786075040,42198384,66.000000,0.000000,53.664095,79.002186,4.159073
nemeth01,9506,725054,56394380,1721872,32.000000,0.000000,1.523328,8.333851,0.300304
nemeth12,9506,446818,21402666,977388,21.000000,0.000000,0.974688,5.149693,0.245430
nemeth13,9506,474472,24150738,1063110,22.000000,0.000000,0.963808,5.466167,0.250774
nemeth14,9506,496144,26300314,1108442,23.000000,0.000000,0.987296,5.714184,0.255272
nemeth15,9506,539802,30999732,1210692,25.000000,0.000000,1.119552,6.213810,0.265743
nemeth16,9506,587012,36508092,1289574,28.000000,0.000000,1.222496,6.754086,0.270939
nemeth17,9506,629620,42022124,1362638,30.000000,0.000000,1.324800,7.241695,0.276913
nemeth18,9506,695234,51149746,1465122,34.000000,0.000000,1.451744,7.992588,0.289410
nemeth19,9506,818302,70982630,1784266,39.000000,0.000000,1.651264,9.400990,0.311874
nemeth20,9506,971870,100534354,2172140,46.000000,0.000000,2.018400,11.158436,0.343014
net125,36720,2577200,343881780,175086502,1.000000,0.000000,35.245441,29.633793,15.704330
net150,43520,3121200,467208280,238012852,1.000000,0.000000,55.577313,35.885319,18.985611
