olafu,16146,1015156,66312812,3388252,19.000000,2.068768,64.108505,111.794312
opt1,15449,1930655,269171047,8224575,32.000000,6.132000,87.792252,120.721825
pdb1HYS,36417,4344765,555322659,19594581,28.000000,11.422816,97.230431,127.844238
pkustk07,16860,2418804,410021730,13944528,29.000000,10.061568,81.502548,106.183624
pkustk12,94653,7512317,2680479077,474804911,5.000000,246.849699,21.717499,22.958828
pkustk14,151926,14836504,1777485814,72584244,24.000000,41.139711,86.412170,120.156776
PR02R,161070,8185136,471911391,30969453,15.000000,11.890144,79.378586,119.342651
pwtk,217918,11634424,626054402,32772236,19.000000,12.893056,97.114975,148.917618
qa8fk,66127,1660579,42857197,7351189,5.000000,2.313696,37.046524,96.006256
qa8fm,66127,1660579,42857197,7351189,5.000000,2.278592,37.617264,96.251205
raefsky3,21200,1488768,105397248,4053376,26.000000,2.532960,83.220619,142.619904
rajat16,94294,641159,904719545,891678715,1.000000,77.262881,23.419254,31.018200
rajat17,94294,641159,904719545,891678715,1.000000,76.343330,23.701338,31.148676
rajat18,94294,485143,881220051,878610938,1.000000,89.957602,19.591896,26.920250
rajat20,86916,605045,906009109,893444162,1.000000,71.049474,25.503613,33.667259
rajat25,87190,607235,910717165,898546696,1.000000,71.811902,25.363962,33.593922
rajat28,87190,607235,910717165,898546696,1.000000,71.356737,25.525751,33.414791
rim,22560,1014951,48495211,4123936,11.000000,2.075456,46.732105,85.441475
rma10,46835,2374001,156480259,7900917,19.000000,5.246752,59.648430,122.576561
s3dkq4m2,90449,4820891,258143357,13282553,19.000000,5.624320,91.795403,149.382980
s3rmq4m1,5489,281111,14662217,755453,19.000000,0.876192,33.468048,81.900848
scircuit,170998,958936,8676313,5222525,1.000000,2.672320,6.493469,15.044238
ship_001,34920,4644230,724065786,25600538,28.000000,15.841472,91.413956,117.242897
shipsec1,140874,7813404,450639288,24086412,18.000000,10.591008,85.098473,138.836639
SiO2,155331,11283503,14261280271,104839083,136.000000,1075.299140,26.525234,27.372576
smt,25710,3753184,605945948,19444560,31.000000,13.158912,92.096657,119.654915
ted_AB,10605,522387,30059308,2801762,10.000000,1.763680,34.087032,62.851917
ted_AB_unscaled,10605,522387,30059308,2801762,10.000000,1.776864,33.834114,61.478020
ted_A,10605,424587,18015573,2060816,8.000000,1.375648,26.192125,55.251644
ted_A_unscaled,10605,424587,18015573,2060816,8.000000,1.397088,25.790174,55.314072
thread,29736,4470048,738161100,24678162,29.000000,16.113024,91.622910,117.249710
torso1,116158,8516500,7598748124,19600778,387.000000,540.032402,28.141823,28.767628
trdheim,22098,1935324,192650184,6746796,28.000000,4.178144,92.218063,138.901031
TSOPF_FS_b300_c1,29214,4400122,14023656792,212471856,66.000000,268.795525,104.344421,109.314384
TSOPF_FS_b300_c2,56814,8767466,53947137470,805683050,66.000000,924.852939,116.661011,123.753235
TSOPF_FS_b300,29214,4400122,14023656792,212471856,66.000000,267.747398,104.752884,109.760567
tsyl201,20685,2454957,308227437,8321013,37.000000,6.024320,102.327705,153.160431
tube1,21498,897056,38022972,2508776,15.000000,1.419328,53.578838,121.587914
webbase-1M,1000005,3105536,69524195,51111996,1.000000,50.329951,2.762736,3.230445
