hangGlider_4,15561,149532,192595672,191342279,1.000000,5.664288,1.866560,0.042880,16.585279
hangGlider_4,15561,149532,192595672,191342279,1.000000,5.783424,1.798272,0.109120,16.157791
a0nsdsil,80016,355034,201495078,175955042,1.000000,3.182528,1.697248,0.062912,21.023935
a2nnsnsl,80016,347222,183800248,158275840,1.000000,3.159712,1.520896,20.993441,18.496799
a5esindl,60008,255004,175890032,175505062,1.000000,3.823808,1.679648,0.055840,13.529952
af_shell10,1508065,52672325,1840916875,142742975,12.000000,17.269279,1.422336,3.848704,21.388704
bbmat,38744,1771722,96381493,11551062,8.000000,1.153344,0.209152,1.369504,1.468704
bcsstk30,28924,2043492,173481412,8946070,19.000000,1.385280,0.185088,0.982880,2.309632
bcsstk36,23052,1143140,60130948,3634868,16.000000,0.892864,0.145664,0.357856,0.773472
bundle1,10581,770901,474329871,24072923,19.000000,1.535872,0.311584,8.824032,6.296768
c-43,11125,123675,60015151,10157553,5.000000,2.206784,1.655968,5.001920,2.000224
cant,62451,4007383,269486473,17440029,15.000000,1.904064,0.268608,1.290368,3.345856
Chebyshev4,68121,5377761,277056025,18870336,14.000000,11.332191,0.293216,4.065504,13.499136
conf5_4-8x8-05,49152,1916928,74760192,10911744,6.000000,1.225536,0.205888,0.551424,1.214496
consph,83334,6010480,463845030,26539736,17.000000,3.060096,0.359872,2.007904,5.346528
cop20k_A,121192,2624331,79883385,18705069,4.000000,2.335680,0.284128,1.108928,1.451968
crplat2,18010,960946,52290238,2722222,19.000000,0.697120,0.133120,0.227136,0.659008
fem_filter,74062,1731206,366086732,8424292,43.000000,2.397504,0.183872,1.079776,4.768064
a0nsdsil,80016,355034,201495078,175955042,1.000000,3.215872,1.673280,0.064672,21.281055
a2nnsnsl,80016,347222,183800248,158275840,1.000000,3.184256,1.522464,21.000576,18.533312
a5esindl,60008,255004,175890032,175505062,1.000000,3.901664,1.731488,0.060096,13.549568
af_shell10,1508065,52672325,1840916875,142742975,12.000000,17.482111,1.400224,3.842944,21.372959
bbmat,38744,1771722,96381493,11551062,8.000000,1.163136,0.217728,1.409344,1.472256
bcsstk30,28924,2043492,173481412,8946070,19.000000,1.404224,0.193600,0.999776,2.319680
bcsstk36,23052,1143140,60130948,3634868,16.000000,0.893856,0.146656,0.349344,0.789664
bundle1,10581,770901,474329871,24072923,19.000000,1.582816,0.309984,8.744960,6.260032
c-43,11125,123675,60015151,10157553,5.000000,2.184384,1.675808,5.028832,1.998112
cant,62451,4007383,269486473,17440029,15.000000,1.930080,0.263232,1.291296,3.337088
Chebyshev4,68121,5377761,277056025,18870336,14.000000,11.293856,0.312736,4.070272,13.530560
conf5_4-8x8-05,49152,1916928,74760192,10911744,6.000000,1.259136,0.202464,0.550336,1.212512
consph,83334,6010480,463845030,26539736,17.000000,3.129824,0.386528,2.004096,5.339136
cop20k_A,121192,2624331,79883385,18705069,4.000000,2.394176,0.289312,1.113696,1.456992
crplat2,18010,960946,52290238,2722222,19.000000,0.729632,0.155392,0.229344,0.647840
fem_filter,74062,1731206,366086732,8424292,43.000000,2.448928,0.190304,1.082752,4.756448
g3rmt3m3,5357,207695,8319359,545441,15.000000,0.395968,1.955328,0.138880,0.145952
Ga10As10H30,113081,6115633,1098110645,75156365,14.000000,7.103008,0.799456,16.211872,21.424095
Goodwin_071,56021,1797934,71495155,8303428,8.000000,1.043296,0.192896,0.468192,1.095008
Goodwin_095,100037,3226066,128790421,14969716,8.000000,1.746432,0.247520,0.764960,1.910496
gupta3,16783,9323427,30715971817,270864545,113.000000,23.712864,2.494336,0.587296,542.188965
